                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.96303,                0.92547,                 1.1597,                0.78595,                 0.6102,                0.72256,                 0.4967,                 1.1139,                 1.1198,                 1.2577,              0.0006603,              0.0006603,              0.0006603
                     63,                0.97681,                0.93094,                 1.1765,                0.69499,                0.66895,                0.70753,                0.49395,                 1.1258,                  1.136,                 1.2663,              0.0006438,              0.0006438,              0.0006438
                     64,                0.96959,                0.93387,                 1.1664,                0.73132,                0.64302,                0.71903,                0.48285,                 1.1333,                 1.1401,                 1.2768,             0.00062729,             0.00062729,             0.00062729
                     65,                0.96889,                0.94462,                 1.1723,                0.77261,                0.64899,                0.71958,                0.48664,                 1.1465,                 1.1334,                  1.302,             0.00061079,             0.00061079,             0.00061079
                     66,                0.95376,                0.93695,                 1.1635,                0.74086,                0.58946,                0.68499,                0.45998,                 1.1463,                 1.1798,                 1.2991,             0.00059429,             0.00059429,             0.00059429
                     67,                0.93164,                0.89344,                 1.1511,                0.75312,                 0.6352,                0.71125,                0.48264,                 1.1048,                 1.1159,                 1.2647,             0.00057778,             0.00057778,             0.00057778
                     68,                0.94245,                0.90798,                 1.1466,                0.79486,                0.61557,                0.70804,                0.48411,                 1.1104,                 1.1308,                 1.2636,             0.00056128,             0.00056128,             0.00056128
                     69,                0.93725,                0.90058,                 1.1527,                0.74981,                0.65439,                0.71943,                0.47991,                 1.1269,                 1.1247,                 1.2767,             0.00054478,             0.00054478,             0.00054478
                     70,                0.93588,                 0.8964,                 1.1456,                  0.727,                0.65773,                 0.7082,                0.47479,                 1.1332,                 1.1132,                 1.2866,             0.00052827,             0.00052827,             0.00052827
                     71,                 0.9266,                0.90411,                 1.1447,                0.71886,                0.68843,                0.72725,                0.50298,                 1.1133,                 1.0961,                 1.2732,             0.00051177,             0.00051177,             0.00051177
                     72,                0.92887,                0.88222,                 1.1392,                0.78967,                 0.6252,                 0.7278,                0.49241,                 1.0891,                 1.0853,                 1.2459,             0.00049527,             0.00049527,             0.00049527
                     73,                0.90557,                0.86392,                 1.1294,                0.74022,                0.66271,                0.72606,                0.50847,                 1.0595,                 1.0753,                 1.2373,             0.00047876,             0.00047876,             0.00047876
                     74,                0.91115,                0.86189,                 1.1345,                0.74767,                0.67264,                0.73824,                0.51491,                 1.0767,                 1.0804,                 1.2448,             0.00046226,             0.00046226,             0.00046226
                     75,                0.90638,                0.86529,                 1.1308,                0.76101,                0.64189,                 0.7104,                0.50161,                 1.0836,                 1.1095,                 1.2648,             0.00044576,             0.00044576,             0.00044576
                     76,                0.90963,                0.87083,                  1.137,                0.79089,                0.62116,                0.72559,                0.50644,                 1.0929,                 1.0896,                 1.2645,             0.00042925,             0.00042925,             0.00042925
                     77,                0.91223,                0.85746,                 1.1369,                 0.7507,                0.65377,                0.73784,                0.51467,                 1.0734,                 1.0878,                 1.2367,             0.00041275,             0.00041275,             0.00041275
                     78,                0.89386,                0.83896,                 1.1228,                0.78967,                0.61609,                0.72729,                0.51048,                 1.0637,                 1.0934,                 1.2344,             0.00039625,             0.00039625,             0.00039625
                     79,                 0.8929,                0.83341,                 1.1224,                0.77772,                0.63574,                0.72601,                0.49506,                 1.1096,                 1.0851,                 1.2744,             0.00037974,             0.00037974,             0.00037974
                     80,                0.88162,                0.82011,                  1.117,                0.79699,                0.63654,                0.72826,                0.49846,                 1.1135,                 1.1012,                 1.2834,             0.00036324,             0.00036324,             0.00036324
                     81,                0.87223,                0.81757,                 1.1099,                0.77651,                0.62565,                0.71514,                0.48755,                 1.0987,                 1.1405,                 1.2603,             0.00034674,             0.00034674,             0.00034674
                     82,                0.87881,                0.80977,                 1.1164,                0.76007,                0.63718,                0.72821,                0.50311,                 1.0901,                 1.0959,                 1.2505,             0.00033023,             0.00033023,             0.00033023
                     83,                0.87702,                0.80631,                 1.1079,                0.74231,                0.63936,                0.71493,                 0.5005,                 1.0845,                 1.1142,                 1.2614,             0.00031373,             0.00031373,             0.00031373
                     84,                0.87576,                0.80173,                  1.108,                0.75657,                0.62665,                0.71973,                0.50075,                 1.0883,                 1.0867,                 1.2643,             0.00029723,             0.00029723,             0.00029723
                     85,                0.85773,                0.79753,                 1.1028,                0.78541,                0.63666,                0.71814,                0.51125,                 1.0672,                 1.0593,                 1.2378,             0.00028072,             0.00028072,             0.00028072
                     86,                0.86849,                0.80575,                 1.1052,                0.79159,                0.62311,                0.71688,                0.50122,                 1.0939,                 1.1043,                 1.2714,             0.00026422,             0.00026422,             0.00026422
                     87,                0.85022,                0.79223,                 1.1015,                 0.7966,                0.62937,                0.71902,                0.50659,                  1.064,                 1.1016,                 1.2433,             0.00024772,             0.00024772,             0.00024772
                     88,                0.85863,                0.78298,                 1.0957,                0.75479,                 0.6437,                0.72626,                0.51304,                 1.0651,                 1.0836,                 1.2412,             0.00023121,             0.00023121,             0.00023121
                     89,                0.85373,                0.78643,                 1.1063,                0.78463,                0.61996,                0.73017,                0.51329,                 1.0719,                 1.0949,                 1.2439,             0.00021471,             0.00021471,             0.00021471
                     90,                0.84965,                0.77969,                 1.1016,                0.75204,                0.65757,                0.72234,                0.51438,                 1.0549,                 1.0635,                 1.2362,             0.00019821,             0.00019821,             0.00019821
                     91,                0.71692,                0.64122,                 1.0216,                0.80649,                 0.6348,                0.73097,                0.50876,                  1.077,                 1.0577,                 1.2583,              0.0001817,              0.0001817,              0.0001817
                     92,                0.70454,                0.61465,                 1.0148,                0.80336,                0.62337,                0.72551,                0.50775,                 1.0776,                 1.0644,                 1.2627,              0.0001652,              0.0001652,              0.0001652
                     93,                0.69735,                0.59876,                 1.0026,                0.76239,                0.65401,                0.73399,                0.52035,                 1.0535,                 1.0396,                 1.2467,              0.0001487,              0.0001487,              0.0001487
                     94,                0.68262,                0.58907,                0.99755,                0.79757,                0.63058,                0.72572,                0.50871,                 1.0586,                 1.0571,                 1.2486,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.6854,                 0.5814,                0.99887,                0.79446,                0.63045,                0.73213,                 0.5113,                  1.054,                 1.0572,                 1.2447,             0.00011569,             0.00011569,             0.00011569
                     96,                0.67624,                0.56354,                0.99109,                0.84167,                0.60412,                0.73203,                0.50938,                  1.062,                 1.0566,                 1.2443,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.69009,                0.57831,                0.99674,                0.83697,                 0.6102,                0.73808,                0.51389,                 1.0784,                 1.0534,                 1.2575,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.68269,                0.56343,                0.99333,                0.79344,                 0.6252,                0.73297,                0.51207,                 1.0666,                 1.0539,                 1.2506,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.66068,                0.55634,                0.98037,                0.81929,                0.62945,                0.73905,                0.51575,                 1.0647,                 1.0462,                 1.2524,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.67218,                0.55953,                0.98329,                0.77072,                0.65237,                0.73079,                0.51337,                 1.0671,                 1.0574,                 1.2541,             3.3173e-05,             3.3173e-05,             3.3173e-05
